,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
96,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,12.95,12.95,Old Fashion Tomato Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
97,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,4.25,4.25,Pizza Fries,Nino's Trattoria & Pizzeria,8648,Lawrenceville
98,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,7.25,7.25,Pizza Steak Sub,Nino's Trattoria & Pizzeria,8648,Lawrenceville
99,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Rancher Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
100,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Rancher Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
101,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Sicilian Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
102,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Sicilian Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
103,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Taco Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
104,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Taco Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
105,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,14.95,14.95,Trenton Tomato Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
